[2025-05-19 04:21:05,221] 16 root-INFO-initiate data ingestion
[2025-05-19 04:21:09,853] 48 root-INFO-Performed train test split
[2025-05-19 04:21:09,853] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-19 04:21:09,854] 52 root-INFO-Exporting train and test file path
[2025-05-19 04:21:09,920] 55 root-INFO-Exported data to training and testing path 
[2025-05-19 04:21:09,927] 21 root-INFO-initiate the data validation
[2025-05-19 04:21:10,045] 30 root-INFO-required number of columns2
[2025-05-19 04:21:10,045] 31 root-INFO-Dataframe has columns:31
[2025-05-19 04:21:10,045] 30 root-INFO-required number of columns2
[2025-05-19 04:21:10,046] 31 root-INFO-Dataframe has columns:31
[2025-05-19 04:21:10,170] 79 root-INFO-Drift report written to: Artifacts\05_19_2025_04_21_05\data_validation\drift_report\report.yaml
[2025-05-19 04:21:10,237] 23 root-INFO-data validation is completed
[2025-05-19 04:21:10,238] 44 root-INFO-Entering data transformation method
[2025-05-19 04:21:10,238] 46 root-INFO-Started the transformation
[2025-05-19 04:21:10,348] 33 root-INFO-Entered the Get_transformer method of the DataTransformation class
[2025-05-19 04:21:10,348] 37 root-INFO-Exited the transformation method of the DataTransformation class
[2025-05-19 04:21:10,376] 69 root-INFO-Savedd the data and object files
[2025-05-19 04:21:10,380] 29 root-INFO-data transformation is completed
[2025-05-19 04:21:10,380] 32 root-INFO-initiate the model trainer
